Name,Date
Jason Tucker,1980-09-20
Austin Hester,1981-03-08
Daniel Jackson,1981-10-02
Mrs. Samantha Johnson,1981-12-17
Joseph Harris,1982-03-03
Mrs. Samantha Johnson,1982-03-12
Gina Maldonado,1982-12-16
Mrs. Samantha Johnson,1982-12-23
Yesenia Smith,1983-08-10
Lori Martin,1984-02-05
Jonathan Parrish,1984-06-12
Mrs. Samantha Johnson,1984-07-20
Amanda Brown,1984-08-08
Sarah Murray,1984-10-30
Mrs. Samantha Johnson,1984-11-28
Austin Hester,1985-06-04
Jonathan Parrish,1986-03-18
Yesenia Smith,1986-05-06
Daniel Jackson,1986-12-13
Gina Maldonado,1987-02-13
Kimberly Stewart,1987-12-12
Mrs. Samantha Johnson,1988-07-10
Sarah Murray,1988-08-16
Aaron Kaufman,1988-10-24
Tony Henderson,1988-11-07
Sarah Murray,1988-11-19
Austin Hester,1989-01-18
Joseph Harris,1989-03-01
Gina Maldonado,1989-04-07
Aaron Kaufman,1989-11-14
Daniel Jackson,1990-04-08
Aaron Kaufman,1990-05-01
Aaron Kaufman,1990-07-21
Tony Henderson,1990-10-04
Yesenia Smith,1990-11-23
Joseph Harris,1991-04-03
Jason Tucker,1991-04-30
Matthew Russell,1991-05-31
Lori Martin,1991-07-08
Mrs. Samantha Johnson,1991-07-23
Tony Henderson,1991-11-15
Gina Maldonado,1992-02-09
Sarah Murray,1992-06-27
Gina Maldonado,1992-10-31
Austin Hester,1992-12-10
Mrs. Samantha Johnson,1992-12-12
